Name1	Gal.long	Gal.lat	R.sol	R.GC	Metal	Mv	r.core	r.tidal	Conc	log.t	log.rho	S0	V.esc	VHB	E.B-V	Vt	CSBt
NGC_5897	342.948	30.294	11.8	6.7	-1.47	-7.01	4.4	39.5	1.19	9.09	1.82	2.67	10.0	16.25	0.09	8.64	11.48
NGC_5904	3.860	46.797	7.6	6.6	-1.60	-8.82	1.0	64.1	1.83	8.22	4.11	8.44	34.9	15.11	0.03	5.69	7.15
NGC_5927	326.605	4.859	8.8	5.1	-0.67	-8.08	1.2	35.4	1.46	8.35	3.75	6.93	27.1	16.70	0.43	8.02	9.11
NGC_5946	327.582	4.192	9.2	5.1	-1.34	-7.12	0.4	26.6	1.79	7.45	4.48	5.90	24.3	17.20	0.56	9.48	8.77
BH_176  	328.417	4.344	85.7	78.3	NA	-8.00	11.1	153.6	NA	9.86	1.04	2.74	10.1	22.60	0.73	14.00	14.47
NGC_5986	337.028	13.273	10.5	4.7	-1.72	-8.42	1.5	38.6	1.43	8.53	3.68	7.61	29.6	16.50	0.25	7.48	8.52
Pal_14  	28.755	42.177	75.3	69.9	-1.34	-4.80	16.6	102.5	NA	9.73	-0.46	0.66	2.3	20.08	0.03	14.68	15.68
NGC_6093	352.674	19.462	8.0	3.1	-2.15	-7.89	0.2	21.7	2.04	7.11	5.36	8.99	38.6	15.82	0.22	7.33	6.12
NGC_6101	317.751	-15.828	16.1	11.6	-1.68	-7.00	3.7	74.2	1.26	8.95	2.00	2.77	10.5	16.76	0.04	9.16	11.05
NGC_6121	350.975	15.974	2.1	6.8	-1.09	-6.99	0.8	26.5	1.53	7.84	3.91	5.14	20.3	13.35	0.36	5.76	9.00
NGC_6144	351.929	15.702	9.5	2.9	-1.81	-6.85	3.4	32.6	1.09	8.92	2.15	3.00	11.0	16.46	0.30	9.01	11.61
NGC_6139	342.365	6.939	8.1	2.9	-1.60	-7.99	0.5	29.5	1.58	7.76	4.74	9.40	37.5	17.50	0.74	8.91	8.52
Ter_3   	345.083	9.190	27.2	19.0	NA	-6.20	6.6	60.1	NA	9.28	1.14	1.75	6.3	18.80	0.32	12.00	13.53
NGC_6171	3.371	23.012	6.2	3.9	-0.88	-6.93	1.3	41.5	1.34	8.24	3.27	4.28	16.4	15.63	0.33	8.10	9.91
ESO_452_SC-11	351.912	12.097	10.3	2.8	-1.01	-4.06	1.2	10.4	NA	7.83	2.55	1.57	5.6	16.66	0.31	12.00	11.86
NGC_6205	59.006	40.914	7.1	8.9	-1.60	-8.67	1.7	55.5	1.44	8.67	3.56	7.79	30.4	14.95	0.03	5.68	7.94
NGC_6218	15.715	26.313	5.3	5.0	-1.89	-7.53	1.8	28.1	1.21	8.58	3.17	5.22	19.6	14.90	0.21	6.77	9.44
NGC_6229	73.638	40.306	31.6	30.9	-1.39	-8.14	1.6	51.7	1.51	8.52	3.40	6.07	23.9	18.10	0.00	9.36	8.31
NGC_6235	358.918	13.520	9.5	2.3	-1.60	-6.11	0.7	21.9	1.53	7.69	3.60	3.49	13.8	16.70	0.38	9.99	9.87
NGC_6254	15.138	23.074	4.5	5.3	-1.51	-7.50	0.9	31.2	1.66	8.02	3.77	5.37	21.6	14.65	0.25	6.55	8.78
NGC_6256	347.791	3.307	9.1	2.0	-1.56	-6.31	1.0	17.8	1.39	7.96	3.34	3.55	13.8	18.20	0.88	11.29	11.78
Pal_15  	18.873	24.293	69.7	62.3	-1.26	-5.40	27.4	108.9	NA	10.25	-0.63	0.79	2.6	20.20	0.12	14.20	15.98
NGC_6266	353.575	7.317	6.1	3.0	-1.26	-8.67	0.4	18.4	1.67	7.72	5.21	13.29	53.7	15.95	0.45	6.68	6.63
